Null_both,SCZD_DE_only,PC_only,SCZD_DE_PC,region,feature,OR,pval,pval_bonf
9966,33,14441,212,DLPFC,gene,4.43348798559657,9.99990000099999e-06,6.99993000069999e-05
9992,7,14612,41,HIPPO,gene,4.00524031129013,0.000469995300047,0.003289967100329
27340,15,368803,425,DLPFC,exon,2.10039867716188,0.004669953300467,0.032689673103269
27350,5,369036,192,HIPPO,exon,2.8459012128898,0.015789842101579,0.110528894711053
16446,0,236221,22,DLPFC,jxn,Inf,0.396856031439686,1
16446,0,236215,28,HIPPO,jxn,Inf,0.256847431525685,1
20603,1,72123,5,DLPFC,tx,1.42832383566962,1,1
20604,0,72128,0,HIPPO,tx,NA,NA,NA
