"","n","sexF","raceCauc","age","age_sd","RIN","RIN_sd","PMI","PMI_sd","smoke","smoke_NA_n","death_accident","death_homicide","death_natural","death_suicide","death_NA_n","mapping_perc","mapping_perc_sd","total_mapped","total_mapped_sd","chrM_mapping_perc","chrM_mapping_perc_sd","assigned_gene_perc","assigned_gene_perc_sd","rRNA_perc","rRNA_perc_sd","ageonset","ageonset_sd","ageonset_NA_n","antipsychotics","antipsychotics_sd","antipsychotics_NA_n"
"all",900,33.4444444444444,43.5555555555556,40.2899002216144,21.2401292889775,7.75177777777778,1.04572180794744,30.2772222222222,17.5788255885258,38.4428223844282,78,15.6553398058252,8.13106796116505,69.6601941747573,6.55339805825243,76,89.5506583333333,5.06083953157883,103.754753666759,37.936251274691,11.833477394463,11.8883398344843,45.3334767851578,7.42994190817734,0.00397946175785249,0.00303681139331898,21.6418439716312,7.70746881869962,618,30.1204819277108,45.9127371110494,236
"ctrl",614,33.3876221498371,42.671009771987,35.278968849272,21.7025763595194,7.87117263843648,1.02891297880096,27.6376221498371,15.5989511572968,20.3703703703704,74,17.6684881602914,12.2040072859745,70.1275045537341,0,65,89.5264970141151,5.03464786305703,103.890869752307,38.2345459578218,11.4125612130324,11.734367474636,45.4830784055117,7.50516733203584,0.00399610419468025,0.00300944954507748,NaN,NA,614,0,0,233
"ctrl_hippo",314,33.1210191082803,44.5859872611465,35.5543383757962,21.3704805283792,7.8828025477707,1.09332440511395,27.4474522292994,15.377038082719,21.0714285714286,34,16.9611307420495,11.660777385159,71.3780918727915,0,31,90.1133757961783,4.65381693344499,97.0395403678344,27.724133213928,20.3286964903073,10.2767928983399,49.4315333335946,6.93133058783162,0.00314813060814125,0.00267290330660262,NaN,NA,314,0,0,116
"ctrl_dlpfc",300,33.6666666666667,40.6666666666667,34.9907487448433,22.0768713699248,7.859,0.958548407837196,27.8366666666667,15.8511572503758,19.6153846153846,40,18.4210526315789,12.781954887218,68.796992481203,0,34,88.9122305555556,5.34364954571158,111.061927841389,45.7339154514292,2.08033962281812,0.934745780650872,41.3503622474516,5.628420923394,0.00488364988192441,0.00308925388862467,NaN,NA,300,0,0,117
"ctrl_hippo_vs_ctrl_dlpfc",614,0.886284099905459,0.327004649013147,0.748181979803965,NA,0.774070474166672,NA,0.757722209656594,NA,0.675041881877231,74,0.655026772801951,0.689374499948074,0.510241098627673,NaN,65,0.00315266701380821,NA,6.220571330661e-06,NA,2.77675689641421e-99,NA,1.11694605826953e-47,NA,3.82973974559904e-13,NA,NA,NA,614,NA,NA,233
"ctrl_adult",460,30,42.6086956521739,45.3206892108696,14.4689066700103,7.7145652173913,0.916197043152408,31.3989130434783,14.0651340007358,23.4375,12,10.7221006564551,11.3785557986871,77.8993435448578,0,3,89.3872010869565,4.72387150613757,103.223158987138,38.7624645281359,11.9967199652682,12.1302280096631,46.1756687476355,7.23581652542515,0.00413314005951083,0.00321977487950541,NaN,NA,460,0,0,148
"ctrl_adult_hippo",238,30.2521008403361,45.3781512605042,45.1387394957983,14.3395591652677,7.72394957983193,0.968433175811569,31.094537815126,13.8869186691302,24.0343347639485,5,9.74576271186441,10.1694915254237,80.0847457627119,0,2,89.5753781512605,4.90729952977844,95.6154123088235,28.066561039653,21.168149494665,10.4637789779749,50.1380488214108,6.88052865852867,0.00335575377485899,0.00293736618591447,NaN,NA,238,0,0,75
"ctrl_adult_dlpfc",222,29.7297297297297,39.6396396396396,45.5157524189189,14.6362136020833,7.7045045045045,0.858746575524521,31.7252252252252,14.2779041294279,22.7906976744186,7,11.7647058823529,12.6696832579186,75.5656108597285,0,1,89.1854617117117,4.52132613402491,111.379211732357,46.3327323318932,2.16428650582479,0.697282104510636,41.9277117316061,4.78930536031718,0.00496655418449795,0.00330606103427939,NaN,NA,222,0,0,73
"ctrl_adult_hippo_vs_ctrl_adult_dlpfc",460,0.903012847499104,0.214197757945028,0.780541353476775,NA,0.819612015948892,NA,0.631670273099677,NA,0.756694920322412,12,0.4880013247094,0.402884831010911,0.246704030148005,NaN,3,0.375577211960754,NA,1.59027088856511e-05,NA,2.5508116330641e-77,NA,7.8669211276653e-41,NA,6.12583796659956e-08,NA,NA,NA,460,NA,NA,148
"ctrl_fetal",56,53.5714285714286,12.5,-0.427389134767857,0.0352134486674728,9.15714285714286,1.00487125233347,2.67857142857143,2.3049917598523,NaN,56,NaN,NaN,NaN,NaN,56,90.7861607142857,7.17382559226573,110.364004625,37.9644170558576,4.15546477760074,3.77353086141119,39.3044735088581,7.57178536612286,0.00390471557915621,0.00217786793699765,NaN,NA,56,NaN,NA,56
