"","n","sexF","raceCauc","age","age_sd","RIN","RIN_sd","PMI","PMI_sd","smoke","smoke_NA_n","death_accident","death_homicide","death_natural","death_suicide","death_NA_n","mapping_perc","mapping_perc_sd","total_mapped","total_mapped_sd","chrM_mapping_perc","chrM_mapping_perc_sd","assigned_gene_perc","assigned_gene_perc_sd","rRNA_perc","rRNA_perc_sd","ageonset","ageonset_sd","ageonset_NA_n","antipsychotics","antipsychotics_sd","antipsychotics_NA_n"
"ctrl_fetal_hippo",28,57.1428571428571,10.7142857142857,-0.429435714285714,0.0347566909549452,9.55,0.53437398472938,2.57142857142857,2.30021853114118,NaN,28,NaN,NaN,NaN,NaN,28,93.24875,1.38692413808932,112.75204675,24.5507569895098,7.35083608408784,2.53084123671353,40.6878607942544,5.05758358262659,0.00289049893298049,0.00103116481900177,NaN,NA,28,NaN,NA,28
"ctrl_fetal_dlpfc",28,50,14.2857142857143,-0.42534255525,0.0361826557538909,8.76428571428571,1.20468661537756,2.78571428571429,2.34689933911459,NaN,28,NaN,NaN,NaN,NaN,28,88.3235714285714,9.50432278425462,107.9759625,48.1809890833556,0.960093471113638,1.1933908895202,37.9210862234618,9.34017343116547,0.00491893222533193,0.00254266027745867,NaN,NA,28,NaN,NA,28
"ctrl_fetal_hippo_vs_ctrl_fetal_dlpfc",56,0.599945808106394,0.692692125034757,0.66768412934521,NA,0.00317384294876808,NA,0.731397976841916,NA,NA,56,NA,NA,NA,NA,56,0.0112386407092385,NA,0.642770075812146,NA,1.15208131034617e-14,NA,0.175463152161498,NA,0.000394014492266454,NA,NA,NA,56,NA,NA,56
"sczd_hippo",333,31.2312312312312,45.6456456456456,45.1457357357357,14.9823148500925,7.58168168168168,1.05167430803242,32.4369369369369,15.6204198757719,43.030303030303,3,11.280487804878,8.23170731707317,72.8658536585366,7.6219512195122,5,91.1124474474474,3.30559655969279,92.0903631546547,27.1394706691808,25.1838163633292,6.1856674860435,52.1080244804347,4.25712046320006,0.00290320679370797,0.00280539000293492,21.4848484848485,8.01857085787874,201,34.0579710144928,47.4765041396562,57
"sczd_hippo_case",133,35.3383458646617,44.3609022556391,51.548045112782,15.2918812118702,7.34736842105263,1.0986616477642,36.1992481203008,17.7077431113358,72.9323308270677,0,12.4031007751938,0,68.2170542635659,19.3798449612403,4,90.9737969924812,3.66794360428746,92.507383887218,26.2825070757792,24.9727034652239,6.14687630949353,51.0810536300631,4.10754636377999,0.00241164088276733,0.00245254603440276,21.4848484848485,8.01857085787874,1,70.6766917293233,45.6965532935672,0
"sczd_hippo_ctrl",200,28.5,46.5,40.8882,13.1821277958504,7.7375,0.991696049844095,29.935,13.5398453484632,22.8426395939086,3,10.5527638190955,13.5678391959799,75.8793969849246,0,1,91.20465,3.04702967275233,91.8130443675,27.7565433495108,25.3242064405692,6.22273951864064,52.7909600959319,4.2273421290307,0.00323009812448349,0.00297850236613112,NaN,NA,200,0,0,57
"sczd_hippo_case_vs_sczd_hippo_ctrl",333,0.193741373698203,0.702035339023958,2.72746926201871e-10,NA,0.00110804551000594,NA,0.000638766777241795,NA,5.14352052003639e-21,3,0.611727949696468,8.03123922916709e-08,0.135501243579186,1.59683553736753e-07,5,0.54843852834054,NA,0.817585488390099,NA,0.61144737062924,NA,0.000281029019467307,NA,0.00659907964102362,NA,NA,NA,201,NA,NA,57
"sczd_dlpfc",379,30.8707124010554,42.2163588390501,47.2762143166227,15.4920436145562,7.67994722955145,0.910502505225948,33.2321899736148,17.9056217179597,43.2065217391304,11,11.5902964959569,8.35579514824798,72.2371967654987,7.8167115902965,8,88.878973175022,5.10067619982029,112.009181558707,44.7178011879495,2.14117848173118,0.750055352359847,41.063638596947,4.97148550594189,0.00507048265036854,0.00317205343824145,21.78,7.44723722476189,229,34.983498349835,47.7706620284347,76
"sczd_dlpfc_case",153,32.0261437908497,46.4052287581699,50.6126361176471,15.6878543286642,7.62418300653595,0.965866541927292,35.7222222222222,22.0310702317331,73.1543624161074,4,10.958904109589,0,69.1780821917808,19.8630136986301,7,88.4105119825708,5.87290186897511,112.985635393246,42.6596344182683,2.10096411333339,0.815230255060236,39.7368551167286,4.91567842179241,0.00527555143219285,0.0029921849076458,21.78,7.44723722476189,3,70.6666666666667,45.6815158992626,3
"sczd_dlpfc_ctrl",226,30.0884955752212,39.3805309734513,45.0174862831858,14.975029158793,7.71769911504425,0.871191275182878,31.5464601769912,14.2710681945663,22.8310502283105,7,12,13.7777777777778,74.2222222222222,0,1,89.1961172566372,4.48971714401106,111.348130953909,46.1407850339169,2.16840325325712,0.703079544935353,41.9618592716081,4.81568709992179,0.00493165289984147,0.00328750833299729,NaN,NA,226,0,0,73
"sczd_dlpfc_case_vs_sczd_dlpfc_ctrl",379,0.690702234290054,0.177133810602733,0.000593982587122195,NA,0.336965390227584,NA,0.0396315090097246,NA,1.45968653691249e-23,11,0.758470766996484,8.60593766800574e-09,0.296323019965629,1.54231576537348e-08,8,0.162496929853297,NA,0.723043249038735,NA,0.404684728289769,NA,1.76013393873789e-05,NA,0.292348943564498,NA,NA,NA,229,NA,NA,76
