"","Length","gencodeID","ensemblID","gene_type","Symbol","EntrezID","Class","meanExprs","NumTx","gencodeTx","passExprsCut","logFC","AveExpr","t","P.Value","adj.P.Val","B","region","type"
"e671",640,"ENSG00000187961.13","ENSG00000187961","protein_coding","KLHL17",339451,"InGen",0.733487499782561,1,"ENST00000622660.1",TRUE,-0.150435158186519,-1.06068328643106,-3.77815346150568,0.000184614336171948,0.0723195252393616,0.592641814608548,"DLPFC","exon"
"e879",627,"ENSG00000217801.9","ENSG00000217801","transcribed_unprocessed_pseudogene","",NA,"InGen",0.520335227029648,2,"c(""ENST00000427998.5""; ""ENST00000456409.5"")",TRUE,0.207286218133649,-1.13393841825122,3.91809604007568,0.000106665386549238,0.0612308334395259,1.06941162931285,"DLPFC","exon"
"e896",445,"ENSG00000217801.9","ENSG00000217801","transcribed_unprocessed_pseudogene","",NA,"InGen",0.642761288880097,1,"ENST00000433695.1",TRUE,0.229920584028643,-1.33320080471117,4.21169199820319,3.20102860312257e-05,0.0406882540548768,2.09744079041014,"DLPFC","exon"
"e898",493,"ENSG00000217801.9","ENSG00000217801","transcribed_unprocessed_pseudogene","",NA,"InGen",0.49238892276718,1,"ENST00000451054.1",TRUE,0.204523098088217,-1.54875876402151,3.55999087734867,0.00042021921847428,0.0972935996234812,-0.133142370431638,"DLPFC","exon"
"e7080",3248,"ENSG00000171735.18","ENSG00000171735","protein_coding","CAMTA1",23261,"InGen",11.1782756512111,1,"ENST00000303635.11",TRUE,-0.056025564319264,5.58955679678142,-3.82638111314747,0.000153095404741678,0.0678008129714923,0.14714212960098,"DLPFC","exon"
"e7134",1398,"ENSG00000171735.18","ENSG00000171735","protein_coding","CAMTA1",23261,"InGen",12.3243115920764,2,"c(""ENST00000495233.5""; ""ENST00000490905.5"")",TRUE,-0.0559304342789388,4.49837471041828,-3.83955694937057,0.000145413056212821,0.0661105785968994,0.29991055465755,"DLPFC","exon"
"e7146",64,"ENSG00000171735.18","ENSG00000171735","protein_coding","CAMTA1",23261,"InGen",26.232160692714,1,"ENST00000476864.1",TRUE,-0.0811785836333941,1.03013179682932,-3.77962376958323,0.000183568946110046,0.0722225430110716,0.428305283061825,"DLPFC","exon"
"e7463",125,"ENSG00000142599.17","ENSG00000142599","protein_coding","RERE",473,"InGen",39.3509902335081,7,"c(""ENST00000337907.7""; ""ENST00000377464.5""; ""ENST00000400907.6""; ""ENST00000400908.6""; ""ENST00000464972.5""; ""ENST00000480342.5""; ""ENST00000507012.1"")",TRUE,0.0649019281262189,2.55953657509341,3.72985157536154,0.000222252935985926,0.0769796821939795,0.0831765708611591,"DLPFC","exon"
"e7622",134,"ENSG00000074800.13","ENSG00000074800","protein_coding","ENO1",2023,"InGen",119.377285893491,3,"c(""ENST00000234590.8""; ""ENST00000464920.1""; ""ENST00000497492.1"")",TRUE,0.0522158421333275,4.1133757536706,3.76837130911639,0.000191713832204053,0.0730518411469764,0.0775502641576606,"DLPFC","exon"
"e7625",202,"ENSG00000074800.13","ENSG00000074800","protein_coding","ENO1",2023,"InGen",139.481604650311,2,"c(""ENST00000234590.8""; ""ENST00000464920.1"")",TRUE,0.0553731882175725,4.92348770407449,3.91539819079859,0.000107816032137376,0.0613047221450341,0.540061603254104,"DLPFC","exon"
