"","Length","gencodeID","ensemblID","gene_type","Symbol","EntrezID","Class","meanExprs","NumTx","gencodeTx","passExprsCut","logFC","AveExpr","t","P.Value","adj.P.Val","B","region","type"
"e7626",109,"ENSG00000074800.13","ENSG00000074800","protein_coding","ENO1",2023,"InGen",136.908934502236,2,"c(""ENST00000234590.8""; ""ENST00000464920.1"")",TRUE,0.0595676588025982,4.02276906497146,3.89435975410374,0.000117201087687416,0.0618084560616206,0.545162203787122,"DLPFC","exon"
"e13159",150,"ENSG00000255275.3","ENSG00000255275","protein_coding","",NA,"InGen",4.34539875801375,7,"c(""ENST00000494072.3""; ""ENST00000290597.9""; ""ENST00000538839.5""; ""ENST00000375341.7""; ""ENST00000538309.5""; ""ENST00000454547.1""; ""ENST00000432718.1"")",TRUE,0.157395722264353,-0.458008188875391,4.30295749782619,2.17033912589365e-05,0.035863316731845,2.49893927196199,"DLPFC","exon"
"e14810",1245,"ENSG00000075151.20","ENSG00000075151","protein_coding","EIF4G3",8672,"InGen",1.78158057304171,1,"ENST00000634778.1",TRUE,-0.0858842279045311,1.12219491282934,-3.66763495136507,0.000281444490859289,0.0840101526012427,0.0264739454829268,"DLPFC","exon"
"e14829",78,"ENSG00000117298.14","ENSG00000117298","protein_coding","ECE1",1889,"InGen",7.88776192890433,7,"c(""ENST00000415912.6""; ""ENST00000357071.8""; ""ENST00000374893.10""; ""ENST00000436918.6""; ""ENST00000264205.10""; ""ENST00000526194.5""; ""ENST00000470394.1"")",TRUE,0.127957331865393,-0.572100988557992,3.59276202483277,0.000372328621934709,0.0937518742049095,-0.0377252862619759,"DLPFC","exon"
"e14830",104,"ENSG00000117298.14","ENSG00000117298","protein_coding","ECE1",1889,"InGen",5.16560666582224,5,"c(""ENST00000415912.6""; ""ENST00000357071.8""; ""ENST00000374893.10""; ""ENST00000436918.6""; ""ENST00000264205.10"")",TRUE,0.134885780282049,-0.754918414729853,3.55920925400246,0.000421429048830263,0.0972935996234812,-0.133643236101184,"DLPFC","exon"
"e14927",92,"ENSG00000117298.14","ENSG00000117298","protein_coding","ECE1",1889,"InGen",5.01193419129013,1,"ENST00000470394.1",TRUE,0.144146229829599,-0.973920487741283,3.62240903612878,0.000333463452906447,0.0897799976537662,0.0790367751028436,"DLPFC","exon"
"e16233",127,"ENSG00000125945.14","ENSG00000125945","protein_coding","ZNF436",80818,"InGen",5.02454605684509,2,"c(""ENST00000314011.8""; ""ENST00000374608.3"")",TRUE,0.136689729569635,-0.787972950776619,3.82387657572577,0.000154598444664191,0.0681234610891763,0.749430861782555,"DLPFC","exon"
"e16235",414,"ENSG00000125945.14","ENSG00000125945","protein_coding","ZNF436",80818,"InGen",1.50085477612296,1,"ENST00000374608.3",TRUE,0.152735777291985,-0.720438467015215,4.40541585735001,1.39173580138966e-05,0.0312589042075449,2.89076094458146,"DLPFC","exon"
"e19096",143,"ENSG00000117676.13","ENSG00000117676","protein_coding","RPS6KA1",6195,"InGen",1.84311817342886,7,"c(""ENST00000374168.6""; ""ENST00000374166.8""; ""ENST00000526792.5""; ""ENST00000530003.5""; ""ENST00000531113.5""; ""ENST00000374163.5""; ""ENST00000531382.5"")",TRUE,-0.204438808041351,-1.95290494597542,-3.59449795667643,0.000369940475111158,0.0936856950957461,-0.0861261259345083,"DLPFC","exon"
"e20282",819,"ENSG00000130775.15","ENSG00000130775","protein_coding","THEMIS2",9473,"InGen",1.86459880830005,2,"c(""ENST00000328928.11""; ""ENST00000373925.5"")",TRUE,-0.152140076873943,0.443703366785058,-3.69393834683762,0.000254807147502725,0.0808957114047627,0.202357838979339,"DLPFC","exon"
"e20305",807,"ENSG00000130775.15","ENSG00000130775","protein_coding","THEMIS2",9473,"InGen",1.88987125491519,3,"c(""ENST00000373921.7""; ""ENST00000456990.1""; ""ENST00000492877.1"")",TRUE,-0.151513427129613,0.441896428509364,-3.68314629270312,0.00026543547054851,0.0816317730361339,0.165475136631084,"DLPFC","exon"
"e25542",153,"ENSG00000142687.17","ENSG00000142687","protein_coding","KIAA0319L",79932,"InGen",11.8369980942025,1,"ENST00000469892.5",TRUE,0.0637744522135085,1.05560411313904,3.56535020813904,0.000412011128142602,0.0967150436120426,-0.314556635822488,"DLPFC","exon"
"e29584",235,"ENSG00000010803.16","ENSG00000010803","protein_coding","SCMH1",22955,"InGen",6.57525813917245,11,"c(""ENST00000397174.6""; ""ENST00000402904.6""; ""ENST00000361191.9""; ""ENST00000361705.7""; ""ENST00000397171.6""; ""ENST00000326197.11""; ""ENST00000372595.5""; ""ENST00000337495.9""; ""ENST00000372596.5""; ""ENST00000372597.5""; ""ENST00000456518.3"")",TRUE,0.0806745725284804,0.746582356671323,3.83365461164054,0.000148808300516911,0.0666081740901782,0.652752824023299,"DLPFC","exon"
"e29935",8095,"ENSG00000177181.14","ENSG00000177181","protein_coding","RIMKLA",284716,"InGen",3.12906001068172,1,"ENST00000431473.3",TRUE,-0.0768811221801827,4.94623426468035,-4.18513238814023,3.57969389338686e-05,0.0430183950790156,1.57679418964631,"DLPFC","exon"
"e30165",90,"ENSG00000065978.18","ENSG00000065978","protein_coding","YBX1",4904,"InGen",64.7865316255756,3,"c(""ENST00000321358.11""; ""ENST00000436427.1""; ""ENST00000467957.1"")",TRUE,-0.0874104710530725,1.42978537947172,-3.6128151913856,0.000345602511902678,0.0907982915385859,-0.200958059597167,"DLPFC","exon"
"e30358",150,"ENSG00000177868.11","ENSG00000177868","protein_coding","SVBP",374969,"InGen",12.7147023018672,3,"c(""ENST00000372522.5""; ""ENST00000372521.8""; ""ENST00000497437.1"")",TRUE,-0.0791114049281868,0.735704837864148,-3.57997856004976,0.000390365852320298,0.0947705489416555,-0.223112379989311,"DLPFC","exon"
"e30913",68,"ENSG00000066322.13","ENSG00000066322","protein_coding","ELOVL1",64834,"InGen",1.03379510500616,1,"ENST00000621166.1",TRUE,-0.363083990433623,-3.92165518692585,-3.71240982939144,0.000237540202693989,0.0789287208810943,-0.6008331997972,"DLPFC","exon"
"e31247",111,"ENSG00000142949.16","ENSG00000142949","protein_coding","PTPRF",5792,"InGen",14.1062566557539,4,"c(""ENST00000617451.4""; ""ENST00000359947.8""; ""ENST00000438120.5""; ""ENST00000437607.1"")",TRUE,0.107799426301373,0.875008985385255,4.23120140739868,2.94755931316582e-05,0.0392265743319879,2.13083241610707,"DLPFC","exon"
"e31277",179,"ENSG00000142949.16","ENSG00000142949","protein_coding","PTPRF",5792,"InGen",13.5861588433867,8,"c(""ENST00000359947.8""; ""ENST00000438120.5""; ""ENST00000412568.6""; ""ENST00000429895.5""; ""ENST00000414879.5""; ""ENST00000496447.5""; ""ENST00000372407.4""; ""ENST00000477970.1"")",TRUE,0.0876086445385464,1.52809026728182,4.12288322692764,4.64156910274012e-05,0.0470054862066559,1.64169526941634,"DLPFC","exon"
"e31278",127,"ENSG00000142949.16","ENSG00000142949","protein_coding","PTPRF",5792,"InGen",12.9945410344732,7,"c(""ENST00000359947.8""; ""ENST00000438120.5""; ""ENST00000412568.6""; ""ENST00000429895.5""; ""ENST00000414879.5""; ""ENST00000496447.5""; ""ENST00000372407.4"")",TRUE,0.0872793724890852,0.95852031455872,3.6737058757773,0.000275073506065603,0.0829577766205439,0.065214815718325,"DLPFC","exon"
"e31279",126,"ENSG00000142949.16","ENSG00000142949","protein_coding","PTPRF",5792,"InGen",14.4819991736107,7,"c(""ENST00000359947.8""; ""ENST00000438120.5""; ""ENST00000412568.6""; ""ENST00000429895.5""; ""ENST00000414879.5""; ""ENST00000496447.5""; ""ENST00000372407.4"")",TRUE,0.0851220730114012,1.11228598439895,3.78518437235597,0.000179665665449504,0.0718954346329372,0.437464822292694,"DLPFC","exon"
"e31323",1269,"ENSG00000142949.16","ENSG00000142949","protein_coding","PTPRF",5792,"InGen",1.70467801136435,2,"c(""ENST00000436724.5""; ""ENST00000372405.1"")",TRUE,0.0896353504076899,1.30762104767292,3.91724327379248,0.000107027831812336,0.0612308334395259,0.890210179186211,"DLPFC","exon"
"e31468",485,"ENSG00000142949.16","ENSG00000142949","protein_coding","PTPRF",5792,"InGen",6.50094933012847,1,"ENST00000477970.1",TRUE,0.084995013808754,1.90319599570361,4.08020775529673,5.53616651258437e-05,0.0499754240769941,1.43998814041302,"DLPFC","exon"
"e32209",163,"ENSG00000196517.11","ENSG00000196517","protein_coding","SLC6A9",6536,"InGen",0.372747280934403,1,"ENST00000372307.7",TRUE,-0.440413379144513,-4.5040064321257,-3.67714299161464,0.000271526933578329,0.0825608673263837,-0.996237524617117,"DLPFC","exon"
"e32216",238,"ENSG00000196517.11","ENSG00000196517","protein_coding","SLC6A9",6536,"InGen",2.27283042362689,6,"c(""ENST00000372307.7""; ""ENST00000372306.7""; ""ENST00000372310.7""; ""ENST00000475075.6""; ""ENST00000357730.6""; ""ENST00000360584.6"")",TRUE,-0.197072028074143,-0.996068821280217,-3.91039708599382,0.000109980200067881,0.061486540063239,1.04597276299914,"DLPFC","exon"
"e32218",100,"ENSG00000196517.11","ENSG00000196517","protein_coding","SLC6A9",6536,"InGen",3.090605952857,5,"c(""ENST00000372307.7""; ""ENST00000372310.7""; ""ENST00000475075.6""; ""ENST00000357730.6""; ""ENST00000360584.6"")",TRUE,-0.226466671632923,-1.89472847832939,-3.68882784857998,0.000259789159029863,0.0811243811460947,0.217298504940763,"DLPFC","exon"
"e35700",3885,"ENSG00000162367.11","ENSG00000162367","protein_coding","TAL1",6886,"InGen",0.399692418621231,1,"ENST00000371884.6",TRUE,-0.265660318830208,0.33847394359532,-4.09743810459557,5.15682700354407e-05,0.0483477523297049,1.67264973437665,"DLPFC","exon"
"e35704",3883,"ENSG00000162367.11","ENSG00000162367","protein_coding","TAL1",6886,"InGen",0.399879449436024,1,"ENST00000294339.3",TRUE,-0.265856419869012,0.338281231233264,-4.10047353063505,5.09261583877152e-05,0.0483477523297049,1.68413922256535,"DLPFC","exon"
"e35707",1487,"ENSG00000162367.11","ENSG00000162367","protein_coding","TAL1",6886,"InGen",0.396645505349043,1,"ENST00000459729.1",TRUE,-0.242069179218262,-1.06177202821941,-3.66321035788306,0.000286174962599562,0.084592232123196,0.212140372997001,"DLPFC","exon"
"e37387",26,"ENSG00000154222.14","ENSG00000154222","protein_coding","CC2D1B",200014,"InGen",10.525538055294,1,"ENST00000470844.5",TRUE,-0.181225703656021,-1.77321675705004,-3.85662785595086,0.00013600078913987,0.0646709843638573,0.766108616590968,"DLPFC","exon"
"e37388",91,"ENSG00000154222.14","ENSG00000154222","protein_coding","CC2D1B",200014,"InGen",5.33635965346989,8,"c(""ENST00000470844.5""; ""ENST00000371586.6""; ""ENST00000491136.6""; ""ENST00000284376.7""; ""ENST00000438021.5""; ""ENST00000460261.5""; ""ENST00000450942.2""; ""ENST00000460370.1"")",TRUE,-0.141882030446397,-0.990316613530261,-3.73358139796062,0.00021910649661806,0.0768436578967366,0.444488251087471,"DLPFC","exon"
"e37412",100,"ENSG00000154222.14","ENSG00000154222","protein_coding","CC2D1B",200014,"InGen",5.57861480362348,7,"c(""ENST00000371586.6""; ""ENST00000491136.6""; ""ENST00000284376.7""; ""ENST00000438021.5""; ""ENST00000460261.5""; ""ENST00000450942.2""; ""ENST00000460370.1"")",TRUE,-0.149611949307553,-0.814948671787769,-4.14103599472108,4.30435400491409e-05,0.045399830434331,1.87831520476629,"DLPFC","exon"
"e37526",126,"ENSG00000154222.14","ENSG00000154222","protein_coding","CC2D1B",200014,"InGen",4.53553070862828,1,"ENST00000492426.1",TRUE,-0.150516526779604,-0.777944030263446,-4.23156596192682,2.94301041490809e-05,0.0392265743319879,2.217293514466,"DLPFC","exon"
"e37527",44,"ENSG00000154222.14","ENSG00000154222","protein_coding","CC2D1B",200014,"InGen",8.66899926742295,1,"ENST00000492426.1",TRUE,-0.162820497138517,-1.34228574699326,-3.76816801369066,0.000191864073325077,0.0730518411469764,0.541591893423498,"DLPFC","exon"
"e37533",53,"ENSG00000154222.14","ENSG00000154222","protein_coding","CC2D1B",200014,"InGen",6.84484479049281,1,"ENST00000485966.1",TRUE,-0.17007269366374,-1.50758320484434,-3.8883811899311,0.000120006087767528,0.0623123448312923,0.921893131166374,"DLPFC","exon"
"e40036",549,"ENSG00000173406.15","ENSG00000173406","protein_coding","DAB1",1600,"InGen",2.16978042509851,5,"c(""ENST00000371236.6""; ""ENST00000414851.6""; ""ENST00000485760.5""; ""ENST00000420954.6""; ""ENST00000371231.5"")",TRUE,0.159210790999919,-0.816059330490669,4.04119536513443,6.49550161339318e-05,0.0530361705267979,1.5157626265052,"DLPFC","exon"
"e40059",164,"ENSG00000173406.15","ENSG00000173406","protein_coding","DAB1",1600,"InGen",3.75161571090301,1,"ENST00000485760.5",TRUE,0.156876616742567,-1.05935558838992,4.01564301190441,7.2073363404013e-05,0.0553011433659845,1.41406909857537,"DLPFC","exon"
"e40494",177,"ENSG00000172456.17","ENSG00000172456","protein_coding","FGGY",55277,"InGen",5.40607763139677,1,"ENST00000582567.1",TRUE,0.162174116302077,0.179735927698947,4.0991759596453,5.11997088556928e-05,0.0483477523297049,1.68781250545862,"DLPFC","exon"
"e40496",215,"ENSG00000172456.17","ENSG00000172456","protein_coding","FGGY",55277,"InGen",5.30485260674484,11,"c(""ENST00000413489.5""; ""ENST00000462744.5""; ""ENST00000371218.8""; ""ENST00000495718.5""; ""ENST00000303721.11""; ""ENST00000430447.5""; ""ENST00000634364.1""; ""ENST00000634399.1""; ""ENST00000635156.1""; ""ENST00000424725.2""; ""ENST00000371212.5"")",TRUE,0.151366187239019,0.429683206596754,3.93760218834882,9.86855552837665e-05,0.0606775404203131,1.0639468320101,"DLPFC","exon"
"e43376",133,"ENSG00000152763.16","ENSG00000152763","protein_coding","WDR78",79819,"InGen",11.3928889071081,1,"ENST00000531980.5",TRUE,0.0946412293339254,0.647938517315244,3.7922984545367,0.000174786105801704,0.0708444006954725,0.516956531331377,"DLPFC","exon"
"e43873",87,"ENSG00000116729.13","ENSG00000116729","protein_coding","WLS",79971,"InGen",8.47689621895421,1,"ENST00000534713.5",TRUE,0.139358697277432,-0.464520993452694,4.25855569447933,2.62422784763216e-05,0.0374361205934354,2.32783801676807,"DLPFC","exon"
"e43994",57,"ENSG00000033122.18","ENSG00000033122","protein_coding","LRRC7",57554,"InGen",51.1987866842062,4,"c(""ENST00000310961.9""; ""ENST00000370958.5""; ""ENST00000035383.9""; ""ENST00000415775.2"")",TRUE,0.0788011540938828,1.33097332260958,3.62709678415766,0.000327678843189926,0.0895689369415258,-0.139302545710598,"DLPFC","exon"
"e45504",364,"ENSG00000184005.10","ENSG00000184005","protein_coding","ST6GALNAC3",256435,"InGen",0.622993730402628,1,"ENST00000464140.1",TRUE,-0.237064291657693,-2.42983569148752,-3.90298951212336,0.00011326149302872,0.061486540063239,0.72946296888336,"DLPFC","exon"
"e46052",152,"ENSG00000162613.16","ENSG00000162613","protein_coding","FUBP1",8880,"InGen",16.706779760527,3,"c(""ENST00000294623.8""; ""ENST00000370768.6""; ""ENST00000370767.5"")",TRUE,0.0738282627214697,1.31801443937605,3.66291620472567,0.000286492088028459,0.0846000683146615,-0.017205749623546,"DLPFC","exon"
"e46101",442,"ENSG00000162613.16","ENSG00000162613","protein_coding","FUBP1",8880,"InGen",6.59877520167289,1,"ENST00000470287.1",TRUE,0.0712362017735087,1.52021821383537,3.75450386190762,0.000202220884074015,0.07488082620796,0.278894106970696,"DLPFC","exon"
"e48767",3545,"ENSG00000171492.14","ENSG00000171492","protein_coding","LRRC8D",55144,"InGen",5.20604401906715,1,"ENST00000337338.9",TRUE,-0.0770649386080415,4.18215669696701,-4.01031067964276,7.36494936662254e-05,0.0553184415655922,0.967425601427514,"DLPFC","exon"
"e48770",2935,"ENSG00000171492.14","ENSG00000171492","protein_coding","LRRC8D",55144,"InGen",6.2011037411777,1,"ENST00000394593.7",TRUE,-0.0773870387914888,4.16169989633389,-4.00972772728174,7.38237739785971e-05,0.0553445250581361,0.967058062897141,"DLPFC","exon"
"e49682",147,"ENSG00000154511.11","ENSG00000154511","protein_coding","FAM69A",388650,"InGen",3.2423922836183,3,"c(""ENST00000615519.4""; ""ENST00000613902.4""; ""ENST00000616709.4"")",TRUE,-0.121804806887596,-0.830047885138216,-3.66008669670754,0.00028955950129564,0.0852519492964578,0.199650926657026,"DLPFC","exon"
"e49683",135,"ENSG00000154511.11","ENSG00000154511","protein_coding","FAM69A",388650,"InGen",14.3749494293544,4,"c(""ENST00000615519.4""; ""ENST00000613047.4""; ""ENST00000616709.4""; ""ENST00000370310.4"")",TRUE,-0.0751137817895347,1.21390682489332,-3.71049030108529,0.000239281855991748,0.0789287208810943,0.16692180008944,"DLPFC","exon"
"e49700",125,"ENSG00000154511.11","ENSG00000154511","protein_coding","FAM69A",388650,"InGen",3.81305332553513,1,"ENST00000370310.4",TRUE,-0.121804806887596,-0.830047885138216,-3.66008669670754,0.00028955950129564,0.0852519492964578,0.199650926657026,"DLPFC","exon"
"e51209",162,"ENSG00000188641.12","ENSG00000188641","protein_coding","DPYD",1806,"InGen",11.9189874150025,2,"c(""ENST00000370192.7""; ""ENST00000306031.5"")",TRUE,0.105567178604515,0.905282238657129,4.02572594191718,6.9180209900366e-05,0.0545730729820302,1.33968679736641,"DLPFC","exon"
"e51228",145,"ENSG00000188641.12","ENSG00000188641","protein_coding","DPYD",1806,"InGen",12.148058464982,1,"ENST00000474241.1",TRUE,0.110910370879169,0.772188060041432,4.19676828508097,3.40881964133574e-05,0.0418538674866827,2.00708704447301,"DLPFC","exon"
"e51286",199,"ENSG00000162627.16","ENSG00000162627","protein_coding","SNX7",51375,"InGen",4.55037467959689,3,"c(""ENST00000529992.5""; ""ENST00000306121.7""; ""ENST00000528824.1"")",TRUE,0.11183943777126,-0.465713187144307,3.62717076865076,0.000327588307897308,0.0895689369415258,0.069876002945584,"DLPFC","exon"
"e51287",200,"ENSG00000162627.16","ENSG00000162627","protein_coding","SNX7",51375,"InGen",4.64807803465155,3,"c(""ENST00000529992.5""; ""ENST00000306121.7""; ""ENST00000528824.1"")",TRUE,0.11197553733373,-0.416415200328473,3.63257462050757,0.000321038775918596,0.0890339306784087,0.0835969198540907,"DLPFC","exon"
"e51817",1873,"ENSG00000122435.9","ENSG00000122435","protein_coding","TRMT13",54482,"InGen",1.3742385423476,1,"ENST00000370141.6",TRUE,-0.104426447866277,1.28062803512405,-3.72800122555993,0.000223829631585498,0.0773227636138265,0.215920528512961,"DLPFC","exon"
"e53702",93,"ENSG00000116266.10","ENSG00000116266","protein_coding","STXBP3",6814,"InGen",18.282350516795,2,"c(""ENST00000370008.3""; ""ENST00000472099.1"")",TRUE,-0.087009865400684,0.827186470266693,-3.65450059462074,0.000295706202398806,0.085328173131036,0.0192874026823588,"DLPFC","exon"
"e53820",304,"ENSG00000121957.12","ENSG00000121957","protein_coding","GPSM2",29899,"InGen",3.0267448116792,4,"c(""ENST00000406462.6""; ""ENST00000264126.7""; ""ENST00000435475.5""; ""ENST00000446797.1"")",TRUE,-0.127794551556478,-0.0753449817415376,-3.98621863708667,8.11876318847168e-05,0.0573014765326932,1.29265115153724,"DLPFC","exon"
"e55833",332,"ENSG00000177301.13","ENSG00000177301","protein_coding","KCNA2",3737,"InGen",8.35839602234639,5,"c(""ENST00000633222.1""; ""ENST00000369770.7""; ""ENST00000485317.5""; ""ENST00000316361.8""; ""ENST00000525120.1"")",TRUE,-0.0784789566173943,2.04799332641521,-3.72600317172459,0.000225544023070249,0.0773442626468853,0.124737179775242,"DLPFC","exon"
"e55834",11366,"ENSG00000177301.13","ENSG00000177301","protein_coding","KCNA2",3737,"InGen",9.84403003440712,1,"ENST00000633222.1",TRUE,-0.0706128972293232,7.33870099411986,-3.96764326770435,8.74937147204099e-05,0.0582258549155625,0.497084124008682,"DLPFC","exon"
"e55837",1057,"ENSG00000177301.13","ENSG00000177301","protein_coding","KCNA2",3737,"InGen",10.886408699152,1,"ENST00000369770.7",TRUE,-0.0678742382403583,4.03481434084488,-3.6295370288106,0.00032470506836518,0.0895234989432171,-0.40487069232706,"DLPFC","exon"
"e55838",141,"ENSG00000177301.13","ENSG00000177301","protein_coding","KCNA2",3737,"InGen",7.70979448981905,1,"ENST00000369770.7",TRUE,-0.111936555256016,0.575919629891853,-3.78196362094626,0.000181916824804228,0.072216521344094,0.493311352822699,"DLPFC","exon"
"e55842",1948,"ENSG00000177301.13","ENSG00000177301","protein_coding","KCNA2",3737,"InGen",10.8766653645136,1,"ENST00000485317.5",TRUE,-0.0715393878304384,4.91658799797845,-3.9924319087353,7.91763730810013e-05,0.0570312521436085,0.831224459234272,"DLPFC","exon"
"e55845",1692,"ENSG00000177301.13","ENSG00000177301","protein_coding","KCNA2",3737,"InGen",10.9643541836658,1,"ENST00000316361.8",TRUE,-0.0709736711681935,4.72692813517453,-3.94613018532108,9.53776096603243e-05,0.0600822052846381,0.674133670400749,"DLPFC","exon"
"e55848",111,"ENSG00000177301.13","ENSG00000177301","protein_coding","KCNA2",3737,"InGen",15.2193949387609,1,"ENST00000525120.1",TRUE,-0.108520124945108,1.21162945403139,-3.99666548247787,7.78331411423239e-05,0.0565645499522229,1.19867512598237,"DLPFC","exon"
"e57185",371,"ENSG00000155366.16","ENSG00000155366","protein_coding","RHOC",389,"InGen",7.53447045131162,1,"ENST00000369636.6",TRUE,0.0979874409816596,1.32473756032628,3.69505894165285,0.000253726819214562,0.0808620051406769,0.0910326440768792,"DLPFC","exon"
"e57188",376,"ENSG00000155366.16","ENSG00000155366","protein_coding","RHOC",389,"InGen",7.46744984715594,1,"ENST00000473074.1",TRUE,0.0980471572548451,1.32818472294816,3.65435568753064,0.000295867273030759,0.085328173131036,-0.0505666758258227,"DLPFC","exon"
"e57195",277,"ENSG00000155366.16","ENSG00000155366","protein_coding","RHOC",389,"InGen",8.35853210159166,1,"ENST00000484280.6",TRUE,0.111211291429545,1.04392757756127,4.00888753100554,7.40756494706558e-05,0.05542857225287,1.25737253628729,"DLPFC","exon"
"e57201",194,"ENSG00000155366.16","ENSG00000155366","protein_coding","RHOC",389,"InGen",8.50283629236426,1,"ENST00000369632.6",TRUE,0.109557651067988,0.521366411364132,3.68459465351497,0.000263985223643517,0.0815358660032842,0.153718100356471,"DLPFC","exon"
"e58250",141,"ENSG00000116752.5","ENSG00000116752","protein_coding","BCAS2",10286,"InGen",10.1467847531012,1,"ENST00000369541.3",TRUE,-0.0846742381271129,0.651603411628388,-3.69199568721696,0.000256690271203723,0.0809437964418245,0.170080510669861,"DLPFC","exon"
"e58257",131,"ENSG00000116752.5","ENSG00000116752","protein_coding","BCAS2",10286,"InGen",10.9189576574716,1,"ENST00000485021.1",TRUE,-0.0848782786297189,0.651356655347141,-3.70394355727682,0.000245312854890644,0.0797433671566363,0.211410790414662,"DLPFC","exon"
"e58917",329,"ENSG00000177551.5","ENSG00000177551","protein_coding","NHLH2",4808,"InGen",0.302481526979816,1,"ENST00000320238.3",TRUE,-0.482181888313785,-5.45709017221893,-3.70756052153307,0.00024196335512272,0.0791737238157045,-1.54896473891424,"DLPFC","exon"
"e60054",186,"ENSG00000275131.2","ENSG00000275131","transcribed_unprocessed_pseudogene","",NA,"InGen",4.30819030179158,1,"ENST00000612480.2",TRUE,0.154206079789381,-0.200358197427981,4.45934688517522,1.09773460223762e-05,0.0280944804387247,3.11407197920213,"DLPFC","exon"
"e60055",252,"ENSG00000275131.2","ENSG00000275131","transcribed_unprocessed_pseudogene","",NA,"InGen",4.54333162533099,1,"ENST00000612480.2",TRUE,0.11929076828414,0.208427481357374,3.6086485727902,0.000351002756537996,0.0915198725812677,-0.0646895432236567,"DLPFC","exon"
"e60250",347,"ENSG00000226067.6","ENSG00000226067","lincRNA","LINC00623",NA,"InGen",1.6364127318216,1,"ENST00000621058.4",TRUE,0.150183963007679,-0.476695477071652,3.57842912757809,0.000392606950574834,0.0949206983298047,-0.0911055033508328,"DLPFC","exon"
"e60263",227,"ENSG00000226067.6","ENSG00000226067","lincRNA","LINC00623",NA,"InGen",1.68393539544638,1,"ENST00000613486.1",TRUE,0.163325128949598,-1.05151706746481,3.62863642510042,0.000325799612970524,0.0895667769548409,0.0996991627311301,"DLPFC","exon"
"e60359",163,"ENSG00000171943.11","ENSG00000171943","protein_coding","SRGAP2C",653464,"InGen",6.8348522127618,1,"ENST00000367123.7",TRUE,-0.13904443876278,0.0418875850599478,-3.79068495459864,0.000175881708912723,0.0708858696806245,0.58347313693738,"DLPFC","exon"
