"","SAMPLE_ID","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","rRNA_rate"
"DLPFC_Br1385_A1_ribo","DLPFC_Br1385_A1_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1385_A1_ribo_accepted_hits.sorted.bam",FALSE,141904172,134085272,7818900,0.9449,0.8986,138746535,1623744,0.0115675769227473,0.431248469434584,3.27218605566422e-05
"DLPFC_Br1385_A2_ribo","DLPFC_Br1385_A2_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1385_A2_ribo_accepted_hits.sorted.bam",FALSE,63356668,58336070,5020598,0.9208,0.8733,60487700,573363,0.00938999375100954,0.396809040794983,2.35050527497207e-05
"DLPFC_Br1385_A3_ribo","DLPFC_Br1385_A3_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1385_A3_ribo_accepted_hits.sorted.bam",FALSE,103776550,93343339,10433211,0.8995,0.8535,95058736,1905357,0.0196501296619152,0.341530222651262,3.73402510249031e-05
"DLPFC_Br1385_A4_ribo","DLPFC_Br1385_A4_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1385_A4_ribo_accepted_hits.sorted.bam",FALSE,57136520,52375358,4761162,0.9167,0.8545,53499159,803834,0.0148027568204206,0.363557113289197,3.69457162568991e-05
"DLPFC_Br1729_B1_ribo","DLPFC_Br1729_B1_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1729_B1_ribo_accepted_hits.sorted.bam",FALSE,140958086,133449869,7508217,0.9467,0.9005,137868854,1667693,0.0119516573675856,0.437769672942682,2.2354308099077e-05
"DLPFC_Br1729_B2_ribo","DLPFC_Br1729_B2_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1729_B2_ribo_accepted_hits.sorted.bam",FALSE,84971608,78897512,6074096,0.9285,0.8811,81465923,937445,0.0113762947164975,0.409476431556269,3.1216907491023e-05
"DLPFC_Br1729_B3_ribo","DLPFC_Br1729_B3_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1729_B3_ribo_accepted_hits.sorted.bam",FALSE,68147448,61581266,6566182,0.9036,0.8342,63411280,729793,0.0113779356326016,0.320866760940212,2.47088988679688e-05
"DLPFC_Br1729_B4_ribo","DLPFC_Br1729_B4_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br1729_B4_ribo_accepted_hits.sorted.bam",FALSE,69557746,65655272,3902474,0.9439,0.8848,67277505,716991,0.0105448388057763,0.368169471707762,2.80648589744713e-05
"DLPFC_Br2015_F1_ribo","DLPFC_Br2015_F1_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2015_F1_ribo_accepted_hits.sorted.bam",FALSE,80652808,75027303,5625505,0.9303,0.8899,79583023,739150,0.00920231577898173,0.437940061783288,1.97047274117912e-05
"DLPFC_Br2015_F2_ribo","DLPFC_Br2015_F2_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2015_F2_ribo_accepted_hits.sorted.bam",FALSE,78573146,72741324,5831822,0.9258,0.8757,75267882,919545,0.0120695111543798,0.383479361656894,2.78151484330349e-05
