"","SAMPLE_ID","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","rRNA_rate"
"DLPFC_Br2015_F3_ribo","DLPFC_Br2015_F3_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2015_F3_ribo_accepted_hits.sorted.bam",FALSE,62947298,53526950,9420348,0.8503,0.7858,53643140,1963804,0.0353158051627509,0.368412141196111,3.8435500266726e-05
"DLPFC_Br2015_F4_ribo","DLPFC_Br2015_F4_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2015_F4_ribo_accepted_hits.sorted.bam",FALSE,68827116,62402699,6424417,0.9067,0.841,64682217,706821,0.0108094723767002,0.333126218437924,2.51598179988377e-05
"DLPFC_Br2020_C1_ribo","DLPFC_Br2020_C1_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2020_C1_ribo_accepted_hits.sorted.bam",FALSE,91601926,81798181,9803745,0.893,0.8527,84620369,871932,0.0101989534706757,0.426921535474086,3.49977376652684e-05
"DLPFC_Br2020_C2_ribo","DLPFC_Br2020_C2_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2020_C2_ribo_accepted_hits.sorted.bam",FALSE,92602544,86735613,5866931,0.9366,0.8835,89251721,805874,0.00894842905809332,0.379297165160959,2.92778905602644e-05
"DLPFC_Br2020_C3_ribo","DLPFC_Br2020_C3_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2020_C3_ribo_accepted_hits.sorted.bam",FALSE,74948206,64661890,10286316,0.8628,0.8057,66907890,849463,0.0125368386217803,0.314827674040846,2.83490409519446e-05
"DLPFC_Br2020_C4_ribo","DLPFC_Br2020_C4_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2020_C4_ribo_accepted_hits.sorted.bam",FALSE,80536138,75246893,5289245,0.9343,0.8737,77068269,896282,0.011496019517896,0.356715685017641,3.04368460518257e-05
"DLPFC_Br2074_D1_ribo","DLPFC_Br2074_D1_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2074_D1_ribo_accepted_hits.sorted.bam",FALSE,93508074,88090181,5417893,0.9421,0.9009,94123415,813936,0.00857340121065733,0.4961103442324,2.25683061909641e-05
"DLPFC_Br2074_D2_ribo","DLPFC_Br2074_D2_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2074_D2_ribo_accepted_hits.sorted.bam",FALSE,97628156,92447240,5180916,0.9469,0.9021,95439756,1068556,0.0110721654731667,0.440900995404177,2.642327369236e-05
"DLPFC_Br2074_D3_ribo","DLPFC_Br2074_D3_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2074_D3_ribo_accepted_hits.sorted.bam",FALSE,79328214,74206962,5121252,0.9354,0.8826,76503723,516256,0.00670288419580068,0.308727409095927,2.3822612260389e-05
"DLPFC_Br2074_D4_ribo","DLPFC_Br2074_D4_ribo","/dcl01/lieber/ajaffe/lab/brainseq_phase2/degradation/DLPFC_RiboZero/HISAT2_out/DLPFC_Br2074_D4_ribo_accepted_hits.sorted.bam",FALSE,87041354,82129259,4912095,0.9436,0.8967,84472792,832852,0.00976315236539332,0.413153146703349,2.77254365422244e-05
